"delivery_code","tid","product_code","actual_num","batch_code"
"2022102611960523002","20221026119605230","SCRE004","1","20241018"
"2022102611960523002","20221026119605230","FCAB078","1","20241021"
"2022102611960523002","20221026119605230","SCSU073","1","20241018"
"2022102611960523002","20221026119605230","FCRM022","1","20241021"
"2022102611960523002","20221026119605230","FCSU068","1","20241021"
"2022102611961410401","20221026119614104","FCSU423","1","20241018"
"2022102611961410401","20221026119614104","FCSU442","1","20241021"
"2022102611963122002","20221026119631220","FCSU423","1","20241018"
"2022102611963122002","20221026119631220","FCSU510","1","20241021"
"2022102611966559702","20221026119665597","FCSU423","1","20241018"
"2022102611966559702","20221026119665597","FCSU509","1","20241021"
"2022102611982195762","20221026119821957","FCCH071","1","20241021"
"2022102611982195762","20221026119821957","SCCH370","1","20241018"
"2022102611982195762","20221026119821957","SCCH274","2","20241021"
"2022102611982195762","20221026119821957","SCSU073","1","20241018"
"2022102611982195762","20221026119821957","FCAB078","1","20241021"
"2022102611982195762","20221026119821957","SCRE004","1","20241018"
"2022102711894811701","20221027118948117","FCSU052","1","20241021"
"2022102711894811701","20221027118948117","SCSU073","1","20241018"
"2022102711894811701","20221027118948117","FCAB078","1","20241021"
"2022102711894811701","20221027118948117","SCRE004","1","20241018"
"2022102711910983301","20221027119109833","FCSU505","1","20241021"
"2022102711911313601","20221027119113136","FCAA007","1","20241018"
"2022102711912172801","20221027119121728","FCSU176","1","20241021"
"2022102711912172801","20221027119121728","SCSU190","6","20241018"
"2022102711912172801","20221027119121728","SCSU073","1","20241018"
"2022102711912172801","20221027119121728","FCAB078","1","20241021"
"2022102711912172801","20221027119121728","SCRE004","1","20241018"
"2022102711914100306","20221027119141003","FCSU113","1","20241021"
"2022102711920219401","20221027119202194","FCAB067","1","20241021"
"2022102711923155101","20221027119231551","FCSU178","1","20241021"
"2022102711924891012","20221027119248910","FCSU139","1","20241021"
"2022102711925718701","20221027119257187","FCSU381","1","20241021"
"2022102711926360405","20221027119263604","FCRM264","1","20241021"
"2022102711929297001","20221027119292970","FCSU135","1","20241021"
"2022102711933339502","20221027119333395","FCRM225","2","20241021"
"2022102711940319002","20221027119403190","FCSU346","1","20241021"
"2022102711940319002","20221027119403190","FCSU312","1","20241021"
"2022102711940319002","20221027119403190","SCSU111","1","20241018"
"2022102711942863702","20221027119428637","FCSU460","1","20241021"
"2022102711942863702","20221027119428637","FCSU069","1","20241021"
"2022102711942863702","20221027119428637","SCSU073","1","20241018"
"2022102711942863702","20221027119428637","FCAB078","1","20241021"
"2022102711942863702","20221027119428637","SCRE004","1","20241018"
"2022102711944908602","20221027119449086","FCSU510","1","20241021"
"2022102711944908602","20221027119449086","FCSU423","1","20241018"
"2022102711949306103","20221027119493061","FCCH288","5","20241021"
"2022102811835656364","20221028118356563","FCSU507","1","20241021"
"2022102811835656364","20221028118356563","FCSU120","1","20241021"
"2022102811839240201","20221028118392402","FCCH261","1","20241018"
"2022102811839240201","20221028118392402","SCCH273","1","20241018"
"2022102811839240201","20221028118392402","SCCH370","1","20241018"
"2022102811839240201","20221028118392402","SCCH327","1","20241018"
"2022102811839240201","20221028118392402","SCSU073","1","20241018"
"2022102811839240201","20221028118392402","FCAB078","1","20241021"
"2022102811839240201","20221028118392402","SCRE004","1","20241018"
"2022102811842617802","20221028118426178","FCSU134","1","20241021"
"2022102811842617802","20221028118426178","FCSU510","1","20241021"
"2022102811842617802","20221028118426178","FCSU423","1","20241018"
"2022102811853294902","20221028118532949","FCSU373","1","20241021"
"2022102811853294902","20221028118532949","FCSU423","1","20241018"
"2022102811860711303","20221028118607113","FCRM224","1","20241021"
"2022102811860711303","20221028118607113","FCRM225","1","20241021"
"2022102811862254344","20221028118622543","FCCH261","1","20241018"
"2022102811862254344","20221028118622543","SCCH273","1","20241018"
"2022102811862254344","20221028118622543","SCCH370","1","20241018"
"2022102811862254344","20221028118622543","SCCH327","1","20241018"
"2022102811862254344","20221028118622543","FCCH261","1","20241018"
"2022102811862254344","20221028118622543","SCCH195","2","20241018"
"2022102811862254344","20221028118622543","FCCH263","1","20241021"
"2022102811862254344","20221028118622543","SCSU073","1","20241018"
"2022102811862254344","20221028118622543","FCAB078","1","20241021"
"2022102811862254344","20221028118622543","SCRE004","1","20241018"
"2022102811863194701","20221028118631947","FCSU381","1","20241021"
"2022102811869252301","20221028118692523","FCCH261","2","20241018"
"2022102811874168702","20221028118741687","FCCH026","2","20241021"
"2022102911763830702","20221029117638307","FCCH261","1","20241018"
"2022102911763830702","20221029117638307","SCCH273","1","20241018"
"2022102911763830702","20221029117638307","FCCH261","1","20241018"
"2022102911763830702","20221029117638307","SCCH195","2","20241018"
"2022102911763830702","20221029117638307","FCCH280","1","20241018"
"2022102911763830702","20221029117638307","SCCH370","2","20241018"
"2022102911763830702","20221029117638307","SCCH327","1","20241018"
"2022102911763830702","20221029117638307","SCSU073","1","20241018"
"2022102911763830702","20221029117638307","FCAB078","1","20241021"
"2022102911763830702","20221029117638307","SCRE004","1","20241018"
"2022102911764284101","20221029117642841","FCSU381","1","20241021"
"2022102911768709801","20221029117687098","FCSU139","1","20241021"
"2022102911772235354","20221029117722353","FCCH288","1","20241021"
"2022102911772235354","20221029117722353","FCSU138","1","20241021"
"2022102911772235354","20221029117722353","SCSU073","1","20241018"
"2022102911772235354","20221029117722353","FCAB078","1","20241021"
"2022102911772235354","20221029117722353","SCRE004","1","20241018"
"2022102911773559901","20221029117735599","FCSU381","1","20241021"
"2022102911778577577","20221029117785775","FCCH261","1","20241018"
"2022102911778577577","20221029117785775","FCCH261","1","20241018"
"2022102911780526002","20221029117805260","FCSU373","1","20241021"
"2022102911780526002","20221029117805260","FCSU423","1","20241018"
"2022102911784993031","20221029117849930","FCCH261","1","20241018"
"2022102911785287701","20221029117852877","FCRM012","1","20241018"
"2022102911788369003","20221029117883690","FCSU373","1","20241021"
"2022102911788369003","20221029117883690","FCSU423","1","20241018"
"2022102911789907702","20221029117899077","FCSU514","1","20241021"
"2022102911791274901","20221029117912749","FCCH019","1","20241021"
"2022102911791274901","20221029117912749","SCCH273","1","20241018"
"2022102911791274901","20221029117912749","SCCH327","2","20241018"
"2022102911791274901","20221029117912749","FCCH288","1","20241021"
"2022102911791274901","20221029117912749","SCSU073","1","20241018"
"2022102911791274901","20221029117912749","FCAB078","1","20241021"
"2022102911791274901","20221029117912749","SCRE004","1","20241018"
"2022102911794881302","20221029117948813","FCCH261","1","20241018"
"2022102911794881302","20221029117948813","FCCH261","1","20241018"
"2022102911808802601","20221029118088026","FCSU439","1","20241021"
"2022102911809269202","20221029118092692","FCCH288","2","20241021"
"2022102911810630201","20221029118106302","FCSU370","1","20241021"
"2022102911810630201","20221029118106302","FCSU423","1","20241018"
"2022102911810630201","20221029118106302","FCSU099","1","20241021"
"2022102911812658801","20221029118126588","FCSU373","1","20241021"
"2022102911812658801","20221029118126588","FCSU423","1","20241018"
"2022103011727496364","20221030117274963","FCSU374","1","20241021"
"2022103011727496364","20221030117274963","FCSU423","1","20241018"
"2022103011732844103","20221030117328441","FCCH280","2","20241018"
"2022103011732844103","20221030117328441","SCCH370","4","20241018"
"2022103011732844103","20221030117328441","SCCH327","2","20241018"
"2022103011732844103","20221030117328441","FCAB078","1","20241021"
"2022103011732844103","20221030117328441","SCRE004","1","20241018"
"2022103011747541202","20221030117475412","FCSU134","1","20241021"
"2022103011751415701","20221030117514157","FCSU071","1","20241021"
"2022103011751415701","20221030117514157","FCSU059","1","20241021"
"2022103011751415701","20221030117514157","FCSU514","1","20241021"
